name,image_id,confidence,xmin,ymin,xmax,ymax
holothurian,000386.xml,0.01843184605240822,1033,679,1161,755
holothurian,000386.xml,0.010953945107758045,3249,855,3435,1001
holothurian,000386.xml,0.007335491478443146,2365,508,2443,572
holothurian,000386.xml,0.006400600075721741,1488,801,1711,945
holothurian,000386.xml,0.004610544070601463,1808,1238,1983,1347
echinus,000386.xml,0.04286261647939682,3250,855,3436,997
echinus,000386.xml,0.008731710724532604,2645,2029,2819,2158
echinus,000386.xml,0.0077565317042171955,948,1640,1141,1909
echinus,000386.xml,0.007747873198240995,3246,883,3365,997
echinus,000386.xml,0.004707657266408205,169,1372,430,1586
scallop,000386.xml,0.9909212589263916,2602,1283,2782,1433
scallop,000386.xml,0.9765936136245728,3040,1433,3260,1610
scallop,000386.xml,0.9679789543151855,2141,1167,2297,1264
scallop,000386.xml,0.9567593336105347,2086,879,2226,991
scallop,000386.xml,0.785991907119751,2299,1170,2435,1269
scallop,000386.xml,0.6577593088150024,2614,1682,2803,1887
scallop,000386.xml,0.5365238189697266,1426,1115,1540,1209
scallop,000386.xml,0.39089763164520264,1161,1188,1270,1296
scallop,000386.xml,0.2564493417739868,3269,1060,3480,1179
scallop,000386.xml,0.15189899504184723,607,1055,686,1115
scallop,000386.xml,0.12002761662006378,1883,1676,2035,1823
scallop,000386.xml,0.10679477453231812,2947,1336,3129,1472
scallop,000386.xml,0.10125133395195007,2145,1165,2295,1253
scallop,000386.xml,0.10056333988904953,2930,1706,3087,1889
scallop,000386.xml,0.09404490888118744,3238,752,3290,811
scallop,000386.xml,0.09168977290391922,2297,1175,2413,1268
scallop,000386.xml,0.06739932298660278,2158,974,2228,1023
scallop,000386.xml,0.053312476724386215,2986,1735,3093,1872
scallop,000386.xml,0.052601296454668045,1381,845,1457,918
scallop,000386.xml,0.05028914660215378,3272,1099,3415,1179
scallop,000386.xml,0.04840976372361183,2613,1726,2767,1890
scallop,000386.xml,0.04198640584945679,1605,1649,1681,1723
scallop,000386.xml,0.036455195397138596,3044,1432,3259,1607
scallop,000386.xml,0.03464724123477936,2329,649,2402,714
scallop,000386.xml,0.031408268958330154,2137,1176,2297,1309
scallop,000386.xml,0.027618153020739555,3535,653,3618,728
scallop,000386.xml,0.027195623144507408,3014,1509,3147,1607
scallop,000386.xml,0.026614997535943985,604,1029,711,1117
scallop,000386.xml,0.024553928524255753,2273,1362,2354,1430
scallop,000386.xml,0.023326467722654343,1316,1645,1491,1814
scallop,000386.xml,0.022721055895090103,3237,752,3297,825
scallop,000386.xml,0.022510003298521042,2083,880,2226,993
scallop,000386.xml,0.020015239715576172,1157,1189,1268,1300
