name,image_id,confidence,xmin,ymin,xmax,ymax
holothurian,000386.xml,0.0013992273015901446,3270,1069,3465,1186
scallop,000386.xml,0.9992607831954956,2602,1284,2783,1437
scallop,000386.xml,0.9924342632293701,3041,1432,3255,1611
scallop,000386.xml,0.9918689727783203,2142,1167,2296,1269
scallop,000386.xml,0.9544417858123779,2615,1682,2807,1887
scallop,000386.xml,0.8496466875076294,2303,1167,2439,1266
scallop,000386.xml,0.8226742148399353,2088,876,2226,993
scallop,000386.xml,0.6590525507926941,3268,1066,3469,1185
scallop,000386.xml,0.0895203948020935,2140,1170,2296,1279
scallop,000386.xml,0.06814491748809814,2915,1713,3088,1894
scallop,000386.xml,0.057303525507450104,2297,1171,2436,1268
scallop,000386.xml,0.054920315742492676,2964,1355,3240,1593
scallop,000386.xml,0.04565264657139778,3270,1070,3463,1187
scallop,000386.xml,0.04434148967266083,2937,1338,3145,1516
scallop,000386.xml,0.043776985257864,3043,1436,3257,1613
scallop,000386.xml,0.036969248205423355,2611,1692,2798,1888
scallop,000386.xml,0.024753715842962265,2082,877,2227,996
scallop,000386.xml,0.024320609867572784,2603,1282,2782,1437
scallop,000386.xml,0.009684351272881031,2894,1704,3080,1892
scallop,000386.xml,0.009020380675792694,2006,960,2186,1107
scallop,000386.xml,0.00783504918217659,3022,1486,3195,1613
scallop,000386.xml,0.007384680211544037,2143,1166,2298,1265
scallop,000386.xml,0.006373338866978884,3262,1059,3467,1182
scallop,000386.xml,0.006351366639137268,1167,1191,1266,1299
scallop,000386.xml,0.005714090541005135,2304,1166,2442,1265
scallop,000386.xml,0.005517751909792423,2928,1336,3188,1549
scallop,000386.xml,0.004862422123551369,2869,1199,3044,1326
scallop,000386.xml,0.004292733501642942,2963,1720,3094,1870
scallop,000386.xml,0.0041788844391703606,3011,1511,3107,1602
scallop,000386.xml,0.0037579070776700974,3544,929,3750,1081
scallop,000386.xml,0.003464785637333989,2618,1685,2811,1888
scallop,000386.xml,0.002790112979710102,3037,1430,3253,1609
scallop,000386.xml,0.002696941141039133,2919,1376,3078,1518
scallop,000386.xml,0.0026830299757421017,2853,1343,3094,1494
scallop,000386.xml,0.0022790178190916777,2090,876,2227,991
scallop,000386.xml,0.002131884451955557,2944,1337,3150,1493
scallop,000386.xml,0.0019600859377533197,3015,1489,3160,1607
scallop,000386.xml,0.0019020966719835997,1755,1503,1911,1648
scallop,000386.xml,0.0016304505988955498,1982,964,2160,1112
scallop,000386.xml,0.0016123184468597174,2003,879,2230,1081
scallop,000386.xml,0.001580401323735714,3251,1030,3444,1159
scallop,000386.xml,0.0015740999951958656,2962,1353,3230,1583
scallop,000386.xml,0.0013058407930657268,1957,1435,2129,1584
scallop,000386.xml,0.0012778075179085135,3269,1084,3447,1186
scallop,000386.xml,0.001056283013895154,2051,970,2224,1080
starfish,000386.xml,0.966927170753479,179,1390,418,1583
starfish,000386.xml,0.02879168838262558,178,1390,420,1579
starfish,000386.xml,0.005080788396298885,2087,876,2227,993
starfish,000386.xml,0.0014657898573204875,176,1383,420,1590
holothurian,000732.xml,0.006608413532376289,2033,1353,2274,1538
holothurian,000732.xml,0.003433792619034648,1597,464,1741,656
holothurian,000732.xml,0.0018864122685045004,2002,1365,2256,1605
holothurian,000732.xml,0.0015777283115312457,2364,990,2581,1201
holothurian,000732.xml,0.0015492644160985947,1148,150,1378,401
holothurian,000732.xml,0.0013264634180814028,2578,394,2851,605
holothurian,000732.xml,0.0010121776722371578,3516,916,3734,1103
holothurian,000732.xml,0.0010105263208970428,2044,364,2277,596
echinus,000732.xml,0.9860483407974243,1148,150,1375,401
echinus,000732.xml,0.9822713136672974,208,400,373,563
echinus,000732.xml,0.9252585172653198,2294,1361,2510,1544
echinus,000732.xml,0.8808932304382324,3031,780,3237,960
echinus,000732.xml,0.45304441452026367,2005,990,2143,1167
echinus,000732.xml,0.39663538336753845,2813,507,2953,599
echinus,000732.xml,0.07281101495027542,213,402,368,561
echinus,000732.xml,0.0721062570810318,1154,154,1368,397
echinus,000732.xml,0.05871589109301567,3027,788,3231,965
echinus,000732.xml,0.05115893855690956,2288,1358,2515,1548
echinus,000732.xml,0.04996279254555702,2011,988,2154,1177
echinus,000732.xml,0.04116163030266762,2805,495,2948,598
echinus,000732.xml,0.03589559346437454,3521,911,3735,1096
echinus,000732.xml,0.012759247794747353,1660,1224,1890,1424
echinus,000732.xml,0.007761499844491482,205,396,375,566
echinus,000732.xml,0.006732575595378876,2817,511,2950,598
echinus,000732.xml,0.0052551706321537495,3024,776,3244,966
echinus,000732.xml,0.004281400237232447,2003,992,2147,1176
echinus,000732.xml,0.0036124594043940306,1664,1234,1833,1410
echinus,000732.xml,0.003181008854880929,1146,148,1378,402
echinus,000732.xml,0.0025644346605986357,3528,913,3730,1094
echinus,000732.xml,0.0022477535530924797,1673,1216,1931,1439
echinus,000732.xml,0.002199258655309677,2291,1364,2510,1543
echinus,000732.xml,0.0021487963385879993,2791,475,2949,598
echinus,000732.xml,0.0020960215479135513,2988,810,3188,990
echinus,000732.xml,0.0015164779033511877,2670,425,2910,599
echinus,000732.xml,0.0014205159386619925,1059,1841,1458,2155
echinus,000732.xml,0.0011600067373365164,2110,1353,2411,1566
starfish,000732.xml,0.0011233860859647393,205,396,375,566
starfish,000732.xml,0.0010841843904927373,1148,150,1378,401
holothurian,000116.xml,0.9927387237548828,43,1026,335,1340
holothurian,000116.xml,0.8397745490074158,2,885,305,1166
holothurian,000116.xml,0.11429569125175476,17,945,326,1238
holothurian,000116.xml,0.04544926434755325,5,886,318,1117
holothurian,000116.xml,0.030347976833581924,24,986,330,1304
holothurian,000116.xml,0.013031992129981518,48,874,355,1026
holothurian,000116.xml,0.005006557796150446,2,886,263,1167
holothurian,000116.xml,0.00492851110175252,40,1027,334,1338
holothurian,000116.xml,0.004746758844703436,90,900,434,1059
holothurian,000116.xml,0.002630111761391163,4,890,242,1031
holothurian,000116.xml,0.002224366180598736,9,951,312,1228
holothurian,000116.xml,0.002027098787948489,4,900,140,1173
holothurian,000116.xml,0.0013171408791095018,171,983,364,1239
holothurian,000116.xml,0.0013160728849470615,99,1020,348,1295
echinus,000116.xml,0.004035266116261482,2,885,305,1166
echinus,000116.xml,0.0028091403655707836,44,1025,334,1340
scallop,000116.xml,0.9957873821258545,479,1081,725,1208
scallop,000116.xml,0.02088407799601555,478,1080,725,1207
scallop,000116.xml,0.001225156243890524,40,1026,334,1339
scallop,000116.xml,0.0011666036443784833,1872,1420,1990,1511
starfish,000116.xml,0.9977083206176758,655,719,995,916
starfish,000116.xml,0.956723153591156,966,838,1279,1020
starfish,000116.xml,0.6883769035339355,1160,820,1416,989
starfish,000116.xml,0.36242175102233887,2083,1093,2391,1287
starfish,000116.xml,0.33661049604415894,791,968,1231,1170
