name,image_id,confidence,xmin,ymin,xmax,ymax
holothurian,000386.xml,0.004186130128800869,3270,1057,3479,1183
holothurian,000386.xml,0.003423643298447132,191,1153,426,1308
holothurian,000386.xml,0.002721712924540043,2468,1237,2629,1356
holothurian,000386.xml,0.0021961722522974014,2304,1172,2445,1273
holothurian,000386.xml,0.0014667219948023558,2839,1698,3085,1900
holothurian,000386.xml,0.0014612937811762094,177,1388,425,1587
holothurian,000386.xml,0.0013082349905744195,2862,1196,3036,1331
holothurian,000386.xml,0.0011044659186154604,2602,1279,2778,1437
holothurian,000386.xml,0.0010922251967713237,1983,969,2182,1108
holothurian,000386.xml,0.0010429162066429853,2087,879,2228,989
echinus,000386.xml,0.049807675182819366,2668,2032,2818,2158
echinus,000386.xml,0.012160050682723522,958,1639,1145,1875
echinus,000386.xml,0.006284528411924839,3251,854,3412,999
echinus,000386.xml,0.006003202870488167,2333,2096,2509,2158
echinus,000386.xml,0.005015261471271515,1629,985,1750,1111
echinus,000386.xml,0.0034372766967862844,2634,2020,2826,2157
echinus,000386.xml,0.002429981017485261,984,1623,1161,1838
echinus,000386.xml,0.002250373363494873,177,1388,425,1587
echinus,000386.xml,0.0018812823109328747,3242,888,3356,1001
echinus,000386.xml,0.0012406865134835243,2451,1825,2656,2017
echinus,000386.xml,0.00120497343596071,2234,2074,2573,2158
echinus,000386.xml,0.0010799102019518614,2342,2087,2514,2158
scallop,000386.xml,0.9955077767372131,2602,1284,2782,1436
scallop,000386.xml,0.9805143475532532,2140,1168,2297,1267
scallop,000386.xml,0.9758667945861816,2086,879,2228,989
scallop,000386.xml,0.9756110906600952,3040,1435,3260,1610
scallop,000386.xml,0.7698571681976318,2301,1169,2443,1269
scallop,000386.xml,0.7111835479736328,2613,1686,2808,1886
scallop,000386.xml,0.638294517993927,3272,1058,3480,1183
scallop,000386.xml,0.22767095267772675,1426,1115,1543,1211
scallop,000386.xml,0.2160082757472992,607,1053,690,1117
scallop,000386.xml,0.1652933955192566,2868,1695,3084,1902
scallop,000386.xml,0.1389925479888916,1165,1186,1271,1298
scallop,000386.xml,0.11395097523927689,2949,1725,3095,1888
scallop,000386.xml,0.08643337339162827,3038,1426,3250,1607
scallop,000386.xml,0.08510138094425201,2141,1167,2295,1260
scallop,000386.xml,0.0821511447429657,2950,1336,3126,1470
scallop,000386.xml,0.06801412999629974,1379,846,1458,922
scallop,000386.xml,0.06305321305990219,2305,1174,2447,1268
scallop,000386.xml,0.04808270186185837,2343,1249,2443,1324
scallop,000386.xml,0.0474788136780262,3082,1305,3172,1385
scallop,000386.xml,0.04471166804432869,3538,653,3621,730
scallop,000386.xml,0.04255489632487297,2862,1196,3036,1331
scallop,000386.xml,0.0418790765106678,604,1037,701,1117
scallop,000386.xml,0.03831132873892784,1606,1651,1682,1726
scallop,000386.xml,0.03650898486375809,2610,1695,2796,1888
scallop,000386.xml,0.03543727844953537,2158,974,2230,1035
scallop,000386.xml,0.03483128547668457,2273,1362,2355,1433
scallop,000386.xml,0.03315485641360283,3271,1070,3478,1184
scallop,000386.xml,0.0316014401614666,3548,945,3744,1084
scallop,000386.xml,0.02892501838505268,2088,880,2229,988
scallop,000386.xml,0.02858215942978859,2602,1279,2778,1437
scallop,000386.xml,0.02642456814646721,2380,509,2455,558
scallop,000386.xml,0.022323761135339737,3013,1516,3111,1604
scallop,000386.xml,0.022222671657800674,2329,651,2404,715
scallop,000386.xml,0.021098483353853226,1336,1654,1493,1802
scallop,000386.xml,0.019650574773550034,1883,1674,2041,1823
scallop,000386.xml,0.019072189927101135,2970,1718,3097,1872
scallop,000386.xml,0.018812725320458412,1980,961,2180,1104
scallop,000386.xml,0.018557770177721977,1402,1730,1532,1904
scallop,000386.xml,0.017666155472397804,2136,1173,2299,1289
scallop,000386.xml,0.016332415863871574,3024,1411,3245,1595
scallop,000386.xml,0.014949063770473003,2932,1337,3132,1493
scallop,000386.xml,0.014609221369028091,1735,1995,1896,2117
scallop,000386.xml,0.012249797582626343,3043,597,3183,677
scallop,000386.xml,0.012074488215148449,2307,1203,2455,1305
scallop,000386.xml,0.011779941618442535,2638,1682,2804,1833
scallop,000386.xml,0.011332480236887932,3237,752,3291,811
scallop,000386.xml,0.010938030667603016,2294,1174,2436,1272
scallop,000386.xml,0.010752739384770393,2692,1685,2805,1774
scallop,000386.xml,0.010589441284537315,1952,1439,2152,1604
scallop,000386.xml,0.01021136436611414,2344,1246,2448,1311
scallop,000386.xml,0.009528962895274162,1271,1612,1473,1800
scallop,000386.xml,0.008831520564854145,2839,1698,3085,1900
scallop,000386.xml,0.008718051016330719,3088,1304,3186,1387
scallop,000386.xml,0.008412452414631844,3273,1089,3455,1184
scallop,000386.xml,0.00835003238171339,540,1366,817,1526
scallop,000386.xml,0.008062443695962429,3016,1504,3140,1610
scallop,000386.xml,0.008043167181313038,2147,1161,2405,1283
scallop,000386.xml,0.007609555963426828,1660,1554,1760,1664
scallop,000386.xml,0.007354184985160828,2644,602,2770,725
scallop,000386.xml,0.00708341971039772,1834,1454,1911,1533
scallop,000386.xml,0.007081706542521715,1879,958,1966,1019
scallop,000386.xml,0.006906040012836456,608,1047,695,1116
scallop,000386.xml,0.006579197943210602,2300,1239,2462,1386
scallop,000386.xml,0.0064978585578501225,3568,927,3782,1077
scallop,000386.xml,0.006132445763796568,2468,1237,2629,1356
scallop,000386.xml,0.00606125732883811,1162,1185,1269,1299
scallop,000386.xml,0.006008575204759836,1424,1115,1544,1211
scallop,000386.xml,0.005690716207027435,3125,1427,3219,1488
scallop,000386.xml,0.005681899841874838,2144,976,2232,1056
scallop,000386.xml,0.005472525488585234,1355,1705,1523,1891
scallop,000386.xml,0.005074024200439453,2374,1281,2483,1391
scallop,000386.xml,0.0048739118501544,2948,1341,3171,1513
scallop,000386.xml,0.004673345945775509,1302,1777,1438,1945
scallop,000386.xml,0.004586903378367424,2376,512,2451,561
scallop,000386.xml,0.004584156908094883,1378,847,1456,921
scallop,000386.xml,0.004332420881837606,793,1018,850,1074
scallop,000386.xml,0.00404014065861702,2248,1558,2338,1641
scallop,000386.xml,0.003847424639388919,3031,1445,3260,1608
scallop,000386.xml,0.0038327656220644712,2618,1688,2832,1892
