name,image_id,confidence,xmin,ymin,xmax,ymax
holothurian,000386.xml,0.039811886847019196,1023,673,1168,758
holothurian,000386.xml,0.007401284296065569,2359,510,2446,572
holothurian,000386.xml,0.00595215754583478,1790,1241,2002,1356
echinus,000386.xml,0.047831032425165176,2656,2031,2821,2158
echinus,000386.xml,0.027077727019786835,3260,858,3440,990
echinus,000386.xml,0.017089776694774628,1621,993,1746,1113
echinus,000386.xml,0.014289924874901772,949,1647,1133,1868
echinus,000386.xml,0.012144720181822777,3239,888,3366,1002
echinus,000386.xml,0.004653967451304197,1778,1247,1997,1379
echinus,000386.xml,0.004611365031450987,2601,2031,2825,2158
echinus,000386.xml,0.004417449701577425,3336,868,3445,955
echinus,000386.xml,0.003733685240149498,959,1621,1155,1854
echinus,000386.xml,0.0035488286521285772,3248,857,3434,998
echinus,000386.xml,0.003355068853124976,1625,1001,1736,1103
scallop,000386.xml,0.9891091585159302,2602,1283,2781,1434
scallop,000386.xml,0.9666458368301392,3041,1433,3261,1611
scallop,000386.xml,0.961929202079773,2137,1166,2298,1267
scallop,000386.xml,0.9298993349075317,2085,879,2227,989
scallop,000386.xml,0.6007325649261475,3265,1052,3482,1182
scallop,000386.xml,0.5432950854301453,2298,1169,2437,1268
scallop,000386.xml,0.5147796869277954,2610,1683,2805,1889
scallop,000386.xml,0.25023192167282104,1425,1115,1542,1209
scallop,000386.xml,0.20148931443691254,2916,1707,3088,1905
scallop,000386.xml,0.1943036913871765,1158,1184,1270,1294
scallop,000386.xml,0.17123788595199585,606,1052,687,1114
scallop,000386.xml,0.15400689840316772,2135,1167,2301,1292
scallop,000386.xml,0.0952586829662323,1883,1675,2032,1824
scallop,000386.xml,0.07261299341917038,2943,1340,3123,1481
scallop,000386.xml,0.058838799595832825,2294,1170,2410,1270
scallop,000386.xml,0.0548914410173893,3036,1440,3261,1610
scallop,000386.xml,0.04669203981757164,2859,1196,3047,1333
scallop,000386.xml,0.04520324990153313,3238,753,3292,806
scallop,000386.xml,0.04437318071722984,2626,1682,2801,1841
scallop,000386.xml,0.03716660663485527,2974,1372,3218,1565
scallop,000386.xml,0.036719948053359985,2140,1163,2291,1249
scallop,000386.xml,0.03543754667043686,2669,1680,2798,1782
scallop,000386.xml,0.035352740436792374,2931,1726,3091,1900
scallop,000386.xml,0.035038214176893234,2155,972,2227,1029
scallop,000386.xml,0.03141219913959503,3269,1074,3475,1181
scallop,000386.xml,0.02926226146519184,2131,1170,2305,1324
scallop,000386.xml,0.027211718261241913,2327,648,2406,713
scallop,000386.xml,0.025545207783579826,3086,1308,3174,1386
scallop,000386.xml,0.024163667112588882,604,1040,700,1115
scallop,000386.xml,0.02374270372092724,2086,878,2226,987
scallop,000386.xml,0.021316546946763992,3264,1104,3365,1180
scallop,000386.xml,0.01928841695189476,2368,512,2449,565
scallop,000386.xml,0.018544074147939682,1607,1648,1679,1721
scallop,000386.xml,0.01736869290471077,2273,1360,2353,1430
scallop,000386.xml,0.014858398586511612,3044,593,3207,682
scallop,000386.xml,0.01470055989921093,3536,652,3621,725
scallop,000386.xml,0.014335128478705883,1353,1659,1489,1809
scallop,000386.xml,0.013143999502062798,1377,846,1458,920
scallop,000386.xml,0.013111323118209839,2635,602,2772,723
scallop,000386.xml,0.013073698617517948,2973,1736,3093,1874
scallop,000386.xml,0.012817997485399246,1831,1445,1925,1530
scallop,000386.xml,0.01104041375219822,3237,752,3298,822
scallop,000386.xml,0.011004711501300335,3018,1498,3156,1610
scallop,000386.xml,0.010958182625472546,2147,1163,2344,1269
scallop,000386.xml,0.010568346828222275,1873,1475,1908,1527
scallop,000386.xml,0.01053126621991396,2915,1341,3125,1496
scallop,000386.xml,0.009945783764123917,3544,934,3744,1089
scallop,000386.xml,0.009868377819657326,1949,1442,2131,1588
scallop,000386.xml,0.009798368439078331,3012,1515,3097,1595
scallop,000386.xml,0.009723018854856491,2877,1692,3084,1899
scallop,000386.xml,0.00969761423766613,2301,1172,2442,1265
scallop,000386.xml,0.008748330175876617,1422,1117,1543,1209
scallop,000386.xml,0.008385123685002327,2601,1283,2781,1435
scallop,000386.xml,0.00750176515430212,2330,1246,2440,1336
scallop,000386.xml,0.0070344735868275166,3262,1045,3482,1182
scallop,000386.xml,0.006840148475021124,3271,1102,3399,1182
scallop,000386.xml,0.0067253680899739265,1980,957,2173,1099
scallop,000386.xml,0.0067075276747345924,1746,1483,1915,1636
scallop,000386.xml,0.006356812547892332,3088,1302,3199,1389
scallop,000386.xml,0.006296651437878609,2494,1247,2768,1430
scallop,000386.xml,0.006124414037913084,2344,1241,2445,1298
scallop,000386.xml,0.006006037816405296,2050,880,2232,1060
scallop,000386.xml,0.005888210143893957,2156,970,2230,1039
scallop,000386.xml,0.005777251441031694,1771,1445,1919,1562
scallop,000386.xml,0.005676093511283398,1883,1676,2048,1826
scallop,000386.xml,0.005661821458488703,1154,1184,1270,1296
scallop,000386.xml,0.005616333335638046,1352,1681,1523,1888
scallop,000386.xml,0.005508959759026766,2623,1352,2752,1476
scallop,000386.xml,0.004944854415953159,2609,1686,2800,1892
scallop,000386.xml,0.0048835501074790955,770,1759,883,1963
scallop,000386.xml,0.00481755193322897,1734,1995,1897,2123
scallop,000386.xml,0.004562633112072945,2652,1681,2799,1806
scallop,000386.xml,0.004399557132273912,2693,1682,2799,1765
scallop,000386.xml,0.004023377783596516,2464,1994,2560,2076
scallop,000386.xml,0.003923856653273106,1305,1787,1416,1930
scallop,000386.xml,0.0038585513830184937,1878,958,1961,1017
scallop,000386.xml,0.0037882504984736443,2123,973,2217,1068
scallop,000386.xml,0.003631283063441515,606,1049,692,1114
scallop,000386.xml,0.003594806883484125,2373,508,2454,560
scallop,000386.xml,0.0034967362880706787,2631,1397,2734,1471
scallop,000386.xml,0.003146148519590497,2861,1197,3059,1339
starfish,000386.xml,0.6706504225730896,164,1382,432,1586
starfish,000386.xml,0.03324050456285477,165,1377,436,1590
starfish,000386.xml,0.015080785378813744,2085,878,2227,989
starfish,000386.xml,0.01215815357863903,1422,1117,1543,1209
starfish,000386.xml,0.006539362017065287,2363,509,2449,570
holothurian,000732.xml,0.01130639761686325,3065,532,3234,784
holothurian,000732.xml,0.0019502362702041864,1205,1849,1496,2156
holothurian,000732.xml,0.001670116907916963,811,381,1034,570
holothurian,000732.xml,0.001532283378764987,1157,168,1363,378
echinus,000732.xml,0.8936831951141357,2294,1370,2509,1542
echinus,000732.xml,0.8668563365936279,210,399,371,560
echinus,000732.xml,0.790716290473938,3027,787,3239,961
echinus,000732.xml,0.545099139213562,2818,503,2951,596
echinus,000732.xml,0.43859389424324036,1170,176,1355,370
echinus,000732.xml,0.38786375522613525,2003,985,2148,1171
echinus,000732.xml,0.3205757141113281,1647,1230,1817,1410
echinus,000732.xml,0.18456721305847168,3517,913,3734,1098
echinus,000732.xml,0.15658114850521088,222,411,362,548
echinus,000732.xml,0.08902808278799057,2823,968,2949,1075
echinus,000732.xml,0.07565993070602417,1160,162,1363,380
echinus,000732.xml,0.06995882838964462,3025,794,3228,950
echinus,000732.xml,0.06453049182891846,2437,767,2590,895
echinus,000732.xml,0.05198022350668907,2297,1365,2503,1535
echinus,000732.xml,0.03271200507879257,2822,506,2953,598
echinus,000732.xml,0.02326144091784954,1649,1226,1878,1441
echinus,000732.xml,0.02238229662179947,2884,515,2950,594
echinus,000732.xml,0.022226758301258087,3512,914,3690,1070
echinus,000732.xml,0.018591180443763733,201,395,377,557
echinus,000732.xml,0.01801551878452301,1999,988,2152,1181
echinus,000732.xml,0.01797674223780632,1792,1224,2017,1451
echinus,000732.xml,0.016566328704357147,2345,1313,2434,1393
echinus,000732.xml,0.014228000305593014,3335,1630,3672,2009
echinus,000732.xml,0.009271356277167797,3026,782,3236,966
echinus,000732.xml,0.008730271831154823,226,422,354,539
echinus,000732.xml,0.0087059885263443,2221,1753,2391,1907
echinus,000732.xml,0.008128693327307701,2425,761,2596,897
echinus,000732.xml,0.008061532862484455,1298,1980,1485,2157
echinus,000732.xml,0.00771487969905138,2625,452,2925,603
echinus,000732.xml,0.007379951886832714,2748,479,2939,593
echinus,000732.xml,0.007257678546011448,2828,970,2946,1073
echinus,000732.xml,0.006809933111071587,1653,1208,1972,1445
echinus,000732.xml,0.006807804573327303,2794,938,2968,1093
echinus,000732.xml,0.005694888997823,2286,1368,2511,1547
echinus,000732.xml,0.005459871608763933,403,515,484,587
echinus,000732.xml,0.005454489961266518,1650,1233,1825,1416
echinus,000732.xml,0.005026997998356819,3515,914,3721,1087
echinus,000732.xml,0.004790575243532658,3518,927,3650,1054
echinus,000732.xml,0.004691772162914276,2812,500,2955,600
echinus,000732.xml,0.004666460677981377,1227,1893,1490,2157
echinus,000732.xml,0.004575573839247227,1152,163,1372,384
echinus,000732.xml,0.004391102585941553,2017,986,2137,1129
echinus,000732.xml,0.003906890284270048,3342,1840,3587,2067
echinus,000732.xml,0.0038987540174275637,701,223,779,301
echinus,000732.xml,0.0034961311612278223,2019,579,2212,786
echinus,000732.xml,0.0033356091007590294,2328,1325,2467,1422
echinus,000732.xml,0.0033043355215340853,2782,211,2920,306
echinus,000732.xml,0.0031955891754478216,1816,1236,2010,1433
echinus,000732.xml,0.003174581564962864,2092,776,2217,930
echinus,000732.xml,0.003059458453208208,3189,222,3340,343
