name,image_id,confidence,xmin,ymin,xmax,ymax
holothurian,000386.xml,0.0025369825307279825,1797,1244,1965,1337
echinus,000386.xml,0.004489450715482235,2662,2032,2812,2154
echinus,000386.xml,0.0037727802991867065,2349,2086,2506,2157
echinus,000386.xml,0.0016319102142006159,2580,1980,2835,2157
echinus,000386.xml,0.00111072463914752,179,1388,425,1595
scallop,000386.xml,0.9967761635780334,2603,1283,2779,1435
scallop,000386.xml,0.9863108992576599,2087,880,2227,985
scallop,000386.xml,0.9818791151046753,2143,1165,2296,1271
scallop,000386.xml,0.9417494535446167,3040,1433,3257,1608
scallop,000386.xml,0.6307028532028198,2617,1682,2812,1892
scallop,000386.xml,0.6055618524551392,2939,1334,3130,1480
scallop,000386.xml,0.3686732351779938,1160,1194,1265,1296
scallop,000386.xml,0.2847082018852234,2302,1160,2440,1269
scallop,000386.xml,0.22877413034439087,3275,1064,3479,1185
scallop,000386.xml,0.1830330193042755,612,1050,695,1114
scallop,000386.xml,0.1571834683418274,1425,1114,1542,1209
scallop,000386.xml,0.15469437837600708,2886,1702,3088,1900
scallop,000386.xml,0.09565144777297974,2924,1332,3126,1496
scallop,000386.xml,0.08962936699390411,2860,1195,3048,1334
scallop,000386.xml,0.08471512049436569,3028,1448,3249,1612
scallop,000386.xml,0.07686921209096909,1975,967,2149,1094
scallop,000386.xml,0.07098758220672607,3046,599,3199,681
scallop,000386.xml,0.05331968143582344,1741,1995,1898,2129
scallop,000386.xml,0.0497664213180542,2711,716,2809,781
scallop,000386.xml,0.041775673627853394,2145,1165,2300,1275
scallop,000386.xml,0.04097820073366165,2602,1284,2779,1440
scallop,000386.xml,0.03433617949485779,2084,881,2227,987
scallop,000386.xml,0.032092511653900146,2288,1160,2449,1267
scallop,000386.xml,0.03128188103437424,2269,1363,2355,1431
scallop,000386.xml,0.024865075945854187,2616,1681,2820,1898
scallop,000386.xml,0.0215004850178957,2913,1707,3087,1894
scallop,000386.xml,0.019482914358377457,612,1045,702,1115
scallop,000386.xml,0.018480394035577774,3257,1038,3479,1185
scallop,000386.xml,0.017357921227812767,2946,1330,3102,1511
scallop,000386.xml,0.01599787175655365,1743,1965,1980,2141
scallop,000386.xml,0.014270366169512272,3045,1430,3252,1603
scallop,000386.xml,0.012511808425188065,1159,1194,1267,1295
scallop,000386.xml,0.011779291555285454,1604,1654,1685,1719
scallop,000386.xml,0.01109459437429905,2858,1196,3055,1345
scallop,000386.xml,0.009500204585492611,1950,1432,2178,1606
scallop,000386.xml,0.008205000311136246,1679,1556,1759,1634
scallop,000386.xml,0.008070090785622597,1983,970,2155,1097
scallop,000386.xml,0.00736177247017622,2338,1253,2472,1385
scallop,000386.xml,0.006465536076575518,1738,2000,1895,2119
scallop,000386.xml,0.006101048085838556,3081,1429,3230,1505
scallop,000386.xml,0.005704316310584545,2936,1338,3143,1467
scallop,000386.xml,0.005646732170134783,2642,612,2769,720
