name,image_id,confidence,xmin,ymin,xmax,ymax
holothurian,000386.xml,0.0020945570431649685,3265,1053,3476,1182
holothurian,000386.xml,0.0020196011755615473,178,1391,429,1589
echinus,000386.xml,0.001208309200592339,2666,2031,2816,2154
scallop,000386.xml,0.9988749027252197,2604,1282,2781,1444
scallop,000386.xml,0.9921562671661377,3043,1443,3256,1612
scallop,000386.xml,0.9921543598175049,2086,879,2229,990
scallop,000386.xml,0.9805400371551514,2142,1166,2296,1279
scallop,000386.xml,0.8835030198097229,2616,1682,2836,1897
scallop,000386.xml,0.6153879165649414,1422,1114,1544,1210
scallop,000386.xml,0.5871828198432922,2925,1331,3140,1485
scallop,000386.xml,0.5392656922340393,2301,1163,2445,1271
scallop,000386.xml,0.4269059896469116,3268,1059,3476,1182
scallop,000386.xml,0.2699154019355774,1163,1188,1266,1293
scallop,000386.xml,0.18679353594779968,2899,1703,3087,1901
scallop,000386.xml,0.09620271623134613,2861,1197,3047,1337
scallop,000386.xml,0.08097279816865921,2931,1331,3119,1495
scallop,000386.xml,0.07460111379623413,3042,1436,3247,1599
scallop,000386.xml,0.0734274610877037,2142,1167,2300,1288
scallop,000386.xml,0.05115718021988869,2608,1278,2775,1457
scallop,000386.xml,0.047981150448322296,2614,1687,2874,1903
scallop,000386.xml,0.046087879687547684,2081,876,2230,992
scallop,000386.xml,0.037659380584955215,2299,1165,2430,1271
scallop,000386.xml,0.03376464545726776,3047,597,3192,682
scallop,000386.xml,0.030837928876280785,1974,956,2132,1096
scallop,000386.xml,0.022069452330470085,2931,1717,3093,1900
scallop,000386.xml,0.019771406427025795,609,1046,699,1118
scallop,000386.xml,0.018479742109775543,2373,1281,2480,1405
scallop,000386.xml,0.017221778631210327,3263,1054,3474,1182
scallop,000386.xml,0.015828661620616913,2939,1331,3134,1477
scallop,000386.xml,0.014069687575101852,2269,1364,2354,1434
scallop,000386.xml,0.014006835408508778,1422,1114,1542,1208
scallop,000386.xml,0.013392276130616665,2860,1200,3058,1353
scallop,000386.xml,0.013191958889365196,3034,1447,3258,1609
scallop,000386.xml,0.013044903054833412,2290,1424,2434,1557
scallop,000386.xml,0.012554418295621872,2283,1472,2388,1554
scallop,000386.xml,0.012306148186326027,2596,1679,3085,1925
scallop,000386.xml,0.011990426108241081,2141,1167,2295,1272
scallop,000386.xml,0.011517833918333054,2965,1377,3096,1485
scallop,000386.xml,0.011192843317985535,573,976,721,1120
scallop,000386.xml,0.011174988001585007,2714,717,2803,783
scallop,000386.xml,0.01010381244122982,178,1390,428,1588
scallop,000386.xml,0.009464100003242493,1162,1190,1263,1294
