name,image_id,confidence,xmin,ymin,xmax,ymax
echinus,000386.xml,0.01720166578888893,1625,997,1738,1106
echinus,000386.xml,0.010753169655799866,2355,2071,2511,2158
echinus,000386.xml,0.0030207298696041107,2667,2033,2829,2158
echinus,000386.xml,0.002337793121114373,3246,868,3379,999
scallop,000386.xml,0.9953428506851196,2601,1284,2781,1441
scallop,000386.xml,0.9868787527084351,3052,1441,3264,1611
scallop,000386.xml,0.9867127537727356,2142,1167,2299,1271
scallop,000386.xml,0.9866001009941101,2082,880,2227,990
scallop,000386.xml,0.8937661051750183,3264,1050,3480,1186
scallop,000386.xml,0.891130805015564,2612,1684,2807,1891
scallop,000386.xml,0.6853141188621521,2296,1166,2444,1269
scallop,000386.xml,0.46889254450798035,1425,1119,1538,1215
scallop,000386.xml,0.2788754999637604,2955,1336,3135,1484
scallop,000386.xml,0.2764351963996887,1157,1189,1266,1296
scallop,000386.xml,0.23519021272659302,2888,1705,3090,1901
scallop,000386.xml,0.10571370273828506,3047,599,3173,675
scallop,000386.xml,0.08516962081193924,2144,1168,2300,1280
scallop,000386.xml,0.0720195397734642,3056,1435,3260,1604
scallop,000386.xml,0.06143482029438019,3240,757,3286,816
scallop,000386.xml,0.048253726214170456,3261,1045,3480,1183
scallop,000386.xml,0.04735855385661125,2328,651,2406,716
scallop,000386.xml,0.04692913219332695,2306,1164,2446,1266
scallop,000386.xml,0.03715592995285988,2945,1336,3152,1492
scallop,000386.xml,0.03666698932647705,3537,651,3620,730
scallop,000386.xml,0.035862624645233154,2158,981,2233,1029
scallop,000386.xml,0.03503827378153801,2080,880,2224,987
scallop,000386.xml,0.03458339720964432,1980,967,2146,1094
scallop,000386.xml,0.02688702754676342,2925,1718,3093,1898
scallop,000386.xml,0.026026003062725067,2968,1405,3065,1500
scallop,000386.xml,0.023674657568335533,610,1055,687,1112
scallop,000386.xml,0.022907085716724396,3121,1430,3226,1481
scallop,000386.xml,0.022188417613506317,2324,1248,2452,1362
scallop,000386.xml,0.020700927823781967,2615,1682,2807,1888
scallop,000386.xml,0.017819879576563835,2147,1163,2294,1259
scallop,000386.xml,0.017591753974556923,2301,1245,2495,1401
scallop,000386.xml,0.017573203891515732,2340,1254,2444,1319
scallop,000386.xml,0.016546374186873436,1427,1118,1541,1212
scallop,000386.xml,0.015459352172911167,3087,1307,3181,1381
scallop,000386.xml,0.014908254146575928,2865,1193,3046,1336
scallop,000386.xml,0.014675251208245754,3558,915,3828,1090
scallop,000386.xml,0.014010696671903133,2276,1359,2359,1424
scallop,000386.xml,0.01384653989225626,2642,1688,2802,1786
scallop,000386.xml,0.013401436619460583,1880,1679,2037,1821
scallop,000386.xml,0.013221479021012783,1735,1980,1894,2114
scallop,000386.xml,0.01182509120553732,1155,1188,1264,1297
scallop,000386.xml,0.010887821204960346,3238,759,3287,808
scallop,000386.xml,0.010212356224656105,1328,1659,1496,1818
scallop,000386.xml,0.010199992917478085,2929,1341,3106,1505
scallop,000386.xml,0.009302295744419098,2291,1175,2426,1269
scallop,000386.xml,0.007669435814023018,1985,955,2181,1099
scallop,000386.xml,0.00706216786056757,3116,689,3221,759
scallop,000386.xml,0.0070313699543476105,3104,1422,3234,1510
scallop,000386.xml,0.00663027772679925,2161,974,2235,1031
