name,image_id,confidence,xmin,ymin,xmax,ymax
holothurian,000386.xml,0.011550700291991234,696,698,804,798
holothurian,000386.xml,0.0025494801811873913,3527,965,3738,1094
holothurian,000386.xml,0.001982980640605092,1052,674,1157,749
holothurian,000386.xml,0.0015038945712149143,2362,515,2452,565
holothurian,000386.xml,0.0012149541871622205,2776,656,2883,739
holothurian,000386.xml,0.0010399646125733852,171,1383,432,1579
holothurian,000386.xml,0.0009968753438442945,3257,1059,3470,1185
holothurian,000386.xml,0.0008367927512153983,2140,1165,2288,1259
holothurian,000386.xml,0.0008186705526895821,694,701,803,799
holothurian,000386.xml,0.0008048539748415351,3049,590,3197,681
holothurian,000386.xml,0.0007981524686329067,2084,878,2225,990
holothurian,000386.xml,0.0007900085765868425,2866,1702,3076,1896
holothurian,000386.xml,0.0007477509207092226,2298,1162,2442,1266
holothurian,000386.xml,0.0007108401623554528,2625,1670,3078,1902
holothurian,000386.xml,0.0006608596304431558,1972,978,2141,1101
holothurian,000386.xml,0.0006105686770752072,2100,1845,2448,2119
echinus,000386.xml,0.004639769904315472,172,1382,431,1575
echinus,000386.xml,0.004495186731219292,1622,1001,1722,1100
echinus,000386.xml,0.003285761922597885,2662,2029,2817,2157
echinus,000386.xml,0.002740084659308195,2465,1935,2826,2155
echinus,000386.xml,0.0013773521641269326,2084,878,2225,990
echinus,000386.xml,0.0010725859319791198,2350,2058,2514,2157
echinus,000386.xml,0.0010534299071878195,694,701,803,799
echinus,000386.xml,0.0009874134557321668,2539,1978,2795,2157
echinus,000386.xml,0.0007351944223046303,3283,855,3429,962
echinus,000386.xml,0.000675500079523772,2673,1870,2853,2033
echinus,000386.xml,0.0006323909619823098,2135,1170,2298,1281
scallop,000386.xml,0.9955400228500366,2599,1283,2781,1436
scallop,000386.xml,0.9838797450065613,3034,1442,3262,1609
scallop,000386.xml,0.9675256013870239,2138,1165,2296,1267
scallop,000386.xml,0.9617966413497925,2087,879,2226,989
scallop,000386.xml,0.870538592338562,2297,1165,2437,1267
scallop,000386.xml,0.8154698014259338,2614,1685,2807,1890
scallop,000386.xml,0.29222971200942993,3256,1054,3469,1185
scallop,000386.xml,0.26785752177238464,2910,1716,3084,1895
scallop,000386.xml,0.2628788948059082,2940,1335,3126,1463
scallop,000386.xml,0.2226424366235733,1972,978,2141,1101
scallop,000386.xml,0.19519418478012085,1158,1186,1263,1293
