name,image_id,confidence,xmin,ymin,xmax,ymax
scallop,000386.xml,0.9978456497192383,2606,1288,2781,1445
scallop,000386.xml,0.9868956208229065,2083,880,2223,991
scallop,000386.xml,0.9576721787452698,2616,1683,2824,1892
scallop,000386.xml,0.3370942771434784,2921,1339,3148,1497
scallop,000386.xml,0.9107741713523865,3035,1425,3276,1608
scallop,000386.xml,0.08868131041526794,1990,938,2172,1092
scallop,000386.xml,0.3527522683143616,1433,1114,1551,1198
scallop,000386.xml,0.9898133873939514,2142,1167,2297,1276
scallop,000386.xml,0.38923758268356323,1161,1188,1267,1296
scallop,000386.xml,0.28609034419059753,614,1054,682,1108
scallop,000386.xml,0.7190832495689392,2304,1164,2431,1263
scallop,000386.xml,0.05419302359223366,2270,1370,2351,1436
scallop,000386.xml,0.16660559177398682,1744,1984,1891,2130
starfish,000386.xml,0.7863931059837341,169,1385,430,1580
holothurian,000732.xml,0.05101194605231285,2336,1971,2813,2126
echinus,000732.xml,0.9426321387290955,3033,781,3251,956
echinus,000732.xml,0.9820681214332581,2298,1367,2507,1529
echinus,000732.xml,0.8985027074813843,211,398,371,557
echinus,000732.xml,0.8647663593292236,2008,992,2149,1170
echinus,000732.xml,0.5195958614349365,2820,496,2942,595
echinus,000732.xml,0.12407683581113815,3528,907,3737,1102
echinus,000732.xml,0.3032356798648834,1155,177,1370,375
holothurian,000116.xml,0.9711659550666809,44,1010,330,1369
holothurian,000116.xml,0.22031615674495697,1462,1136,1754,1401
holothurian,000116.xml,0.057167667895555496,17,737,319,1423
scallop,000116.xml,0.9759833216667175,479,1075,723,1213
scallop,000116.xml,0.12573274970054626,1123,1715,1396,1869
starfish,000116.xml,0.9738875031471252,958,847,1260,1012
starfish,000116.xml,0.9623034596443176,2079,1095,2350,1269
starfish,000116.xml,0.7990285158157349,1182,818,1432,971
starfish,000116.xml,0.985142171382904,652,715,981,905
echinus,000744.xml,0.7631680965423584,2658,1436,2747,1520
echinus,000744.xml,0.6816830635070801,3163,1632,3303,1743
echinus,000744.xml,0.24547792971134186,2866,1319,2987,1397
echinus,000744.xml,0.4685181677341461,1972,1769,2065,1847
echinus,000744.xml,0.6244239211082458,2877,1579,2994,1683
echinus,000744.xml,0.06027335673570633,3595,1642,3724,1758
echinus,000744.xml,0.29053759574890137,1501,1945,1594,2057
echinus,000744.xml,0.08250953257083893,1845,1802,1959,1891
holothurian,000216.xml,0.9838364720344543,1702,1178,2037,1327
holothurian,000216.xml,0.9370101690292358,3256,1567,3649,1746
echinus,000216.xml,0.996117115020752,1327,1136,1518,1289
echinus,000216.xml,0.9481077194213867,744,1087,983,1278
echinus,000216.xml,0.18269744515419006,1504,1031,1703,1189
echinus,000216.xml,0.06749684363603592,2177,1250,2311,1346
holothurian,000593.xml,0.7912907600402832,1838,1815,2126,2017
echinus,000593.xml,0.8490797281265259,3224,711,3376,824
echinus,000593.xml,0.9783747792243958,1509,480,1651,603
echinus,000593.xml,0.10210108011960983,39,646,265,824
echinus,000593.xml,0.052788883447647095,305,1393,528,1607
echinus,000593.xml,0.9382025599479675,1947,752,2129,883
echinus,000593.xml,0.10043258965015411,3343,610,3474,735
scallop,000593.xml,0.4382804334163666,301,1858,632,2140
scallop,000593.xml,0.0724569782614708,1035,1311,1203,1415
starfish,000593.xml,0.9342552423477173,3329,1479,3612,1696
starfish,000593.xml,0.46093541383743286,1030,1305,1210,1418
starfish,000593.xml,0.11164529621601105,959,1684,1084,1878
holothurian,000279.xml,0.9517144560813904,5,1497,487,1862
scallop,000279.xml,0.9931340217590332,2599,393,2991,753
scallop,000279.xml,0.9966168999671936,1511,1523,1837,1893
scallop,000279.xml,0.9967544674873352,2711,841,3124,1175
scallop,000279.xml,0.9988848567008972,1357,934,1794,1304
scallop,000279.xml,0.9973823428153992,2904,1157,3378,1566
scallop,000279.xml,0.5238600969314575,1618,1251,1794,1450
scallop,000279.xml,0.9928448796272278,2465,1270,2935,1684
scallop,000279.xml,0.8597293496131897,894,780,1112,1023
scallop,000279.xml,0.08564874529838562,2786,276,3049,417
scallop,000279.xml,0.8000801205635071,411,189,598,333
scallop,000279.xml,0.9363585710525513,890,273,1128,462
scallop,000279.xml,0.45481565594673157,1337,337,1517,489
scallop,000279.xml,0.9873253107070923,1979,1921,2313,2158
scallop,000279.xml,0.6571703553199768,1979,931,2115,1012
scallop,000279.xml,0.07724596560001373,2579,318,2743,437
scallop,000279.xml,0.05853632465004921,3379,1840,3563,1975
scallop,000279.xml,0.9098144769668579,89,348,312,545
scallop,000279.xml,0.08717764168977737,3630,1372,3828,1544
scallop,000279.xml,0.2843089699745178,1241,224,1431,369
scallop,000279.xml,0.06790971010923386,1055,1157,1248,1379
scallop,000279.xml,0.4427276849746704,1386,1906,1676,2139
scallop,000279.xml,0.5373257994651794,9,511,177,718
scallop,000279.xml,0.11286518722772598,1605,350,1708,436
scallop,000279.xml,0.7160881161689758,3646,1798,3836,2085
scallop,000279.xml,0.9337383508682251,3453,230,3711,475
scallop,000279.xml,0.062337249517440796,3499,1029,3757,1309
scallop,000279.xml,0.31202372908592224,558,1242,892,1498
holothurian,000298.xml,0.941719114780426,3344,1035,3838,1228
scallop,000298.xml,0.9969223141670227,1083,765,1294,939
scallop,000298.xml,0.9776129126548767,1249,628,1417,783
scallop,000298.xml,0.9989294409751892,2339,1072,2881,1511
scallop,000298.xml,0.9053382277488708,963,520,1144,687
scallop,000298.xml,0.9758961200714111,1343,748,1512,891
scallop,000298.xml,0.9911415576934814,3478,362,3679,490
scallop,000298.xml,0.9699828028678894,3573,629,3837,868
scallop,000298.xml,0.9373862743377686,1784,533,1952,694
scallop,000298.xml,0.9559139013290405,2761,1232,3048,1524
scallop,000298.xml,0.9777206182479858,1429,476,1563,572
scallop,000298.xml,0.8430938124656677,1302,1747,1638,2092
scallop,000298.xml,0.8172703981399536,1739,270,1858,384
scallop,000298.xml,0.9777266383171082,3488,492,3696,647
scallop,000298.xml,0.5694540143013,722,886,956,1009
scallop,000298.xml,0.9333279728889465,2789,1524,3103,1784
scallop,000298.xml,0.45793670415878296,2572,1665,2954,1904
scallop,000298.xml,0.37895941734313965,1775,505,1924,624
scallop,000298.xml,0.4790591895580292,355,244,511,339
scallop,000298.xml,0.12264537811279297,3739,1213,3833,1350
scallop,000298.xml,0.5614365935325623,2740,1426,2957,1545
scallop,000298.xml,0.5709292888641357,304,687,441,806
scallop,000298.xml,0.36959829926490784,721,853,936,957
scallop,000298.xml,0.953607976436615,142,825,368,972
scallop,000298.xml,0.23591433465480804,700,831,892,934
scallop,000298.xml,0.40293729305267334,1370,270,1514,363
scallop,000298.xml,0.5445171594619751,1539,509,1724,661
scallop,000298.xml,0.08353777229785919,3538,1236,3645,1304
scallop,000298.xml,0.16336366534233093,3606,728,3823,854
scallop,000298.xml,0.06534940749406815,2640,1611,2980,1839
scallop,000298.xml,0.17751911282539368,1511,201,1673,289
scallop,000298.xml,0.12548868358135223,2733,1410,3040,1774
scallop,000298.xml,0.0695149227976799,733,360,865,426
scallop,000298.xml,0.13718530535697937,3109,124,3175,157
scallop,000298.xml,0.11549493670463562,2705,1360,2987,1593
scallop,000298.xml,0.09464062750339508,3108,1553,3463,1800
scallop,000298.xml,0.31633538007736206,2714,1199,3098,1816
starfish,000298.xml,0.11398972570896149,347,245,518,345
starfish,000298.xml,0.1300654262304306,1365,273,1510,359
holothurian,000036.xml,0.5747483968734741,1889,1091,2006,1265
echinus,000036.xml,0.9466673731803894,429,1296,544,1412
echinus,000036.xml,0.2035914957523346,717,969,802,1055
echinus,000036.xml,0.694313108921051,578,1318,641,1393
echinus,000036.xml,0.19841594994068146,930,1077,1091,1236
echinus,000036.xml,0.07713012397289276,915,241,982,356
echinus,000036.xml,0.3532011806964874,819,188,896,288
echinus,000036.xml,0.05499379709362984,1264,86,1304,140
echinus,000036.xml,0.11568962037563324,1970,875,2047,963
echinus,000036.xml,0.08078184723854065,941,1014,1121,1274
scallop,000036.xml,0.3918425142765045,1674,1436,1777,1535
scallop,000036.xml,0.2523743808269501,1306,1339,1385,1433
scallop,000036.xml,0.2694700360298157,962,922,1127,1147
scallop,000036.xml,0.0646146833896637,1862,700,1950,802
scallop,000036.xml,0.13790437579154968,586,1389,671,1477
scallop,000036.xml,0.5752384662628174,1572,1043,1654,1147
scallop,000036.xml,0.3729662299156189,1677,851,1793,980
starfish,000036.xml,0.9751703143119812,1728,150,1822,249
starfish,000036.xml,0.8461199998855591,1878,1169,1997,1292
starfish,000036.xml,0.41714540123939514,1896,1095,2015,1228
starfish,000036.xml,0.06932973116636276,834,948,920,1044
holothurian,000233.xml,0.052630070596933365,1970,1187,2247,1318
holothurian,000233.xml,0.061288975179195404,1166,1571,1698,1948
echinus,000233.xml,0.7455629110336304,2332,1198,2455,1295
echinus,000233.xml,0.8966771960258484,0,689,783,1211
echinus,000233.xml,0.1500876247882843,360,689,766,1175
